附件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国开发区审核公告目录,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（2018年版）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,级别,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业,序号,代码,开发区名称,批准时间,核准面积（公顷）,主导产业
9,G131056,国家经济技术开发区,唐山曹妃甸经济技术开发区,2013.01,1448,港口物流、钢铁、石化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,G131003,国家经济技术开发区,秦皇岛经济技术开发区,1984.10,2298,装备制造、商贸物流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,G131057,国家经济技术开发区,邯郸经济技术开发区,2013.11,350,电子信息、装备制造、新材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,G131058,国家经济技术开发区,沧州临港经济技术开发区,2010.11,380.58,石化、生物医药、电力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,G131059,国家经济技术开发区,廊坊经济技术开发区,2009.07,1449,信息技术、装备制造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,G141004,国家经济技术开发区,太原经济技术开发区,2001.06,960,电子信息、装备制造、新能源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,G141060,国家经济技术开发区,大同经济技术开发区,2010.12,820,医药、汽车、建筑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,G141061,国家经济技术开发区,晋城经济技术开发区,2013.03,400,精密光电、装备制造、新能源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,G141062,国家经济技术开发区,晋中经济技术开发区,2012.03,520,医药、食品、装备制造、电子信息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,G151005,国家经济技术开发区,呼和浩特经济技术开发区,2000.07,980,食品、电力、生物医药,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,G151063,国家经济技术开发区,呼伦贝尔经济技术开发区,2013.03,120,冶金加工、装备制造、食品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,G151064,国家经济技术开发区,巴彦淖尔经济技术开发区,2012.12,433,农畜产品加工、生物、建材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,G211006,国家经济技术开发区,沈阳经济技术开发区,1993.04,1000,装备制造、医药化工,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,G211065,国家经济技术开发区,沈阳辉山经济技术开发区,2013.01,1200,食品、医药、车辆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
